Rk,Player,Pos,Age,Tm,MP,FG,FGA,FT,FTA,PF,PTS
144,Tyler Ennis,PG,20,MIL,353,43,123,3,5,33,99
195,Tyler Hansbrough,PF,29,TOR,1058,86,165,97,139,141,270
248,Tyler Johnson,SG,22,MIA,603,70,167,32,47,42,190
492,Tyler Zeller,C,25,BOS,1731,340,619,153,186,205,833
147,Tyreke Evans,SF,25,NOP,2690,521,1165,202,291,198,1313
439,Tyrus Thomas,PF,28,MEM,7,1,1,2,2,0,4
89,Tyson Chandler,C,32,DAL,2286,293,440,185,257,169,771
203,Udonis Haslem,PF,34,MIA,995,107,239,45,64,113,261
53,Vander Blue,SG,22,LAL,74,9,30,2,5,4,22
96,Victor Claver,SF,26,POR,76,9,20,0,0,12,24
351,Victor Oladipo,SG,22,ORL,2573,473,1086,262,320,187,1292
85,Vince Carter,SG,38,MEM,1091,135,406,45,57,102,384
141,Wayne Ellington,SG,27,LAL,1675,254,617,52,64,77,650
249,Wesley Johnson,SF,27,LAL,2245,286,691,90,112,162,753
300,Wesley Matthews,SG,28,POR,2024,337,752,109,145,132,956
35,Will Barton,SG,24,DEN,683,112,253,64,79,50,307
77,Will Bynum,SG,32,WAS,67,10,31,2,4,9,22
91,Will Cherry,PG,23,CLE,69,5,19,3,6,10,15
189,Willie Green,SG,33,ORL,951,118,306,28,34,81,306
90,Wilson Chandler,SF,27,DEN,2471,418,975,110,142,231,1085
209,Xavier Henry,SF,23,LAL,86,3,13,14,24,6,20
273,Zach LaVine,PG,19,MIN,1902,286,677,149,177,158,778
380,Zach Randolph,PF,33,MEM,2304,454,932,228,298,175,1143
354,Zaza Pachulia,C,30,MIL,1730,240,529,126,160,170,606
133,Zoran Dragic,SG,25,MIA,62,9,22,1,2,5,22
