Rk,Player,Pos,Age,Tm,MP,FG,FGA,FT,FTA,PF,PTS
407,Iman Shumpert,SG,24,CLE,920,105,256,18,27,71,272
82,Isaiah Canaan,PG,23,PHI,569,93,247,33,39,55,278
436,Isaiah Thomas,PG,25,BOS,545,117,285,118,137,45,400
414,Ish Smith,PG,26,PHI,677,128,322,28,48,38,301
30,J.J. Barea,PG,30,DAL,1362,225,536,76,94,104,580
212,J.J. Hickson,C,26,DEN,1411,218,459,116,201,136,552
381,J.J. Redick,SG,30,LAC,2409,447,938,183,203,134,1277
415,J.R. Smith,SG,29,CLE,1461,214,504,27,33,119,586
399,JaKarr Sampson,SF,21,PHI,1131,146,346,63,94,135,386
187,JaMychal Green,PF,24,MEM,139,23,40,8,10,19,54
310,JaVale McGee,C,27,PHI,61,8,18,2,4,2,18
64,Jabari Brown,SG,22,LAL,568,70,170,64,85,33,227
357,Jabari Parker,SF,19,MIL,738,129,263,46,66,42,308
101,Jack Cooley,PF,23,UTA,87,9,22,9,21,23,27
108,Jae Crowder,SF,24,BOS,1382,196,469,99,130,111,539
157,Jamaal Franklin,SG,23,DEN,13,1,2,0,0,4,3
107,Jamal Crawford,SG,34,LAC,1703,332,839,227,252,108,1010
341,Jameer Nelson,PG,32,DEN,702,135,300,11,19,70,327
143,James Ennis,SF,24,MIA,1051,101,247,79,94,89,312
197,James Harden,SG,25,HOU,2981,647,1470,715,824,208,2217
245,James Johnson,PF,27,TOR,1370,238,404,67,102,155,554
251,James Jones,SF,34,CLE,669,74,201,39,46,67,250
304,James Michael McAdoo,PF,22,GSW,137,24,44,14,25,21,62
488,James Young,SG,19,BOS,332,36,102,16,29,22,105
356,Jannero Pargo,PG,35,CHO,73,15,35,2,2,8,41
110,Jared Cunningham,SG,23,LAC,89,12,33,7,13,12,35
136,Jared Dudley,SG,29,MIL,1717,198,423,48,67,113,518
429,Jared Sullinger,PF,22,BOS,1566,311,708,96,129,153,770
426,Jarnell Stokes,PF,21,MEM,126,21,37,15,28,25,57
232,Jarrett Jack,PG,31,BRK,2241,359,817,200,227,143,957
301,Jason Maxiell,PF,31,CHO,878,81,192,41,71,96,203
383,Jason Richardson,SG,34,PHI,416,62,178,17,22,28,172
416,Jason Smith,C,28,NYK,1785,257,592,127,153,205,656
435,Jason Terry,SG,37,HOU,1641,188,446,39,48,116,541
441,Jason Thompson,PF,28,SAC,1991,201,428,89,143,239,491
4,Jeff Adrien,PF,28,MIN,215,19,44,22,38,30,60
26,Jeff Ayres,PF,27,SAS,383,55,95,27,36,60,137
188,Jeff Green,SF,28,MEM,1361,210,492,118,143,81,588
431,Jeff Teague,PG,26,ATL,2228,408,887,275,319,139,1162
483,Jeff Withey,C,24,NOP,259,32,64,34,50,26,98
430,Jeffery Taylor,SF,25,CHO,430,45,114,26,41,36,127
